order_ref,shopify_id,sku,product_name,quantity,unit_cogs,line_total,notes
#100000,#100000,CAP-BLK-OS,Casquette Noire,1,6.00,6.00,
#100001,#100001,WALLET-BRN,Portefeuille Cuir Brun,1,8.00,8.00,
#100001,#100001,TSHIRT-BLK-M,T-shirt Premium Noir M,1,7.50,7.50,
#100002,#100002,WALLET-BRN,Portefeuille Cuir Brun,1,8.00,8.00,
#100003,#100003,SOCKS-5PK,Lot 5 paires chaussettes,1,4.80,4.80,
#100004,#100004,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,8.00,8.00,
#100005,#100005,WALLET-BRN,Portefeuille Cuir Brun,1,8.50,8.50,
#100005,#100005,TSHIRT-BLK-M,T-shirt Premium Noir M,1,8.00,8.00,
#100006,#100006,JOGGER-BLK-L,Jogging Noir L,1,11.30,11.30,
#100006,#100006,WALLET-BRN,Portefeuille Cuir Brun,1,8.00,8.00,
#100007,#100007,SOCKS-5PK,Lot 5 paires chaussettes,1,5.80,5.80,
#100008,#100008,HOODIE-GRY-XL,Hoodie Gris XL,1,13.40,13.40,
#100008,#100008,CAP-BLK-OS,Casquette Noire,1,5.70,5.70,
#100009,#100009,SOCKS-5PK,Lot 5 paires chaussettes,2,4.80,9.60,
#100010,#100010,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,7.70,7.70,
#100011,#100011,WATCH-BLK,Montre Minimaliste Noire,1,12.70,12.70,
#100012,#100012,JOGGER-BLK-L,Jogging Noir L,1,11.30,11.30,
#100013,#100013,WALLET-BRN,Portefeuille Cuir Brun,1,9.20,9.20,
#100014,#100014,TSHIRT-BLK-M,T-shirt Premium Noir M,2,8.70,17.40,
#100015,#100015,WALLET-BRN,Portefeuille Cuir Brun,1,9.00,9.00,
#100016,#100016,TSHIRT-WHT-L,T-shirt Premium Blanc L,3,7.70,23.10,
#100016,#100016,SOCKS-5PK,Lot 5 paires chaussettes,1,5.00,5.00,
#100017,#100017,CAP-BLK-OS,Casquette Noire,2,6.50,13.00,
#100018,#100018,JOGGER-BLK-L,Jogging Noir L,1,11.30,11.30,
#100019,#100019,WATCH-BLK,Montre Minimaliste Noire,3,13.70,41.10,
#100019,#100019,TSHIRT-BLK-M,T-shirt Premium Noir M,1,8.70,8.70,
#100019,#100019,WALLET-BRN,Portefeuille Cuir Brun,1,9.20,9.20,
#100020,#100020,WATCH-BLK,Montre Minimaliste Noire,1,13.70,13.70,
#100020,#100020,CAP-BLK-OS,Casquette Noire,1,6.70,6.70,
#100021,#100021,CAP-BLK-OS,Casquette Noire,1,5.50,5.50,
#100022,#100022,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,8.50,8.50,
#100022,#100022,WATCH-BLK,Montre Minimaliste Noire,1,13.50,13.50,
#100022,#100022,WALLET-BRN,Portefeuille Cuir Brun,1,9.00,9.00,
#100023,#100023,TSHIRT-BLK-M,T-shirt Premium Noir M,2,7.50,15.00,
#100024,#100024,HOODIE-GRY-XL,Hoodie Gris XL,1,13.20,13.20,
#100025,#100025,WATCH-BLK,Montre Minimaliste Noire,2,13.50,27.00,
#100026,#100026,WALLET-BRN,Portefeuille Cuir Brun,1,9.00,9.00,
#100027,#100027,TSHIRT-BLK-M,T-shirt Premium Noir M,1,7.50,7.50,
#100027,#100027,JOGGER-BLK-L,Jogging Noir L,1,11.30,11.30,
#100028,#100028,HOODIE-GRY-XL,Hoodie Gris XL,1,14.20,14.20,
#100029,#100029,TSHIRT-BLK-M,T-shirt Premium Noir M,2,8.50,17.00,
#100029,#100029,SOCKS-5PK,Lot 5 paires chaussettes,2,5.80,11.60,
#100030,#100030,WALLET-BRN,Portefeuille Cuir Brun,2,9.00,18.00,
#100031,#100031,CAP-BLK-OS,Casquette Noire,4,5.70,22.80,
#100031,#100031,JOGGER-BLK-L,Jogging Noir L,1,11.50,11.50,
#100031,#100031,SOCKS-5PK,Lot 5 paires chaussettes,1,5.00,5.00,
#100032,#100032,SOCKS-5PK,Lot 5 paires chaussettes,1,6.00,6.00,
#100033,#100033,TSHIRT-WHT-L,T-shirt Premium Blanc L,2,8.70,17.40,
#100034,#100034,JOGGER-BLK-L,Jogging Noir L,1,11.30,11.30,
#100035,#100035,SOCKS-5PK,Lot 5 paires chaussettes,2,5.80,11.60,
#100036,#100036,HOODIE-GRY-XL,Hoodie Gris XL,1,13.20,13.20,
#100037,#100037,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,8.00,8.00,
#100038,#100038,JOGGER-BLK-L,Jogging Noir L,1,11.30,11.30,
#100038,#100038,HOODIE-GRY-XL,Hoodie Gris XL,1,13.20,13.20,
#100039,#100039,CAP-BLK-OS,Casquette Noire,2,6.70,13.40,
#100040,#100040,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,7.70,7.70,
#100041,#100041,SOCKS-5PK,Lot 5 paires chaussettes,1,6.00,6.00,
#100042,#100042,TSHIRT-BLK-M,T-shirt Premium Noir M,1,8.70,8.70,
#100043,#100043,HOODIE-GRY-XL,Hoodie Gris XL,1,13.70,13.70,
#100044,#100044,WALLET-BRN,Portefeuille Cuir Brun,1,9.00,9.00,
#100045,#100045,SOCKS-5PK,Lot 5 paires chaussettes,1,4.80,4.80,
#100046,#100046,TSHIRT-BLK-M,T-shirt Premium Noir M,2,8.00,16.00,
#100047,#100047,WALLET-BRN,Portefeuille Cuir Brun,4,8.50,34.00,
#100048,#100048,WALLET-BRN,Portefeuille Cuir Brun,1,8.00,8.00,
#100048,#100048,TSHIRT-BLK-M,T-shirt Premium Noir M,1,7.50,7.50,
#100049,#100049,HOODIE-GRY-XL,Hoodie Gris XL,1,13.20,13.20,
#100049,#100049,WALLET-BRN,Portefeuille Cuir Brun,2,8.00,16.00,
#100049,#100049,SOCKS-5PK,Lot 5 paires chaussettes,3,4.80,14.40,
#100050,#100050,JOGGER-BLK-L,Jogging Noir L,1,11.30,11.30,
#100051,#100051,WALLET-BRN,Portefeuille Cuir Brun,1,8.20,8.20,
#100052,#100052,CAP-BLK-OS,Casquette Noire,1,6.00,6.00,
#100053,#100053,WALLET-BRN,Portefeuille Cuir Brun,1,8.50,8.50,
#100054,#100054,WALLET-BRN,Portefeuille Cuir Brun,1,9.20,9.20,
#100054,#100054,CAP-BLK-OS,Casquette Noire,1,6.70,6.70,
#100055,#100055,SOCKS-5PK,Lot 5 paires chaussettes,1,4.80,4.80,
#100055,#100055,JOGGER-BLK-L,Jogging Noir L,1,11.30,11.30,
#100056,#100056,WALLET-BRN,Portefeuille Cuir Brun,1,8.00,8.00,
#100056,#100056,HOODIE-GRY-XL,Hoodie Gris XL,1,13.20,13.20,
#100056,#100056,JOGGER-BLK-L,Jogging Noir L,1,11.30,11.30,
#100057,#100057,WALLET-BRN,Portefeuille Cuir Brun,1,9.20,9.20,
#100058,#100058,SOCKS-5PK,Lot 5 paires chaussettes,1,4.80,4.80,
#100059,#100059,HOODIE-GRY-XL,Hoodie Gris XL,1,14.40,14.40,
#100060,#100060,TSHIRT-WHT-L,T-shirt Premium Blanc L,2,7.50,15.00,
#100061,#100061,TSHIRT-BLK-M,T-shirt Premium Noir M,1,7.50,7.50,
#100062,#100062,JOGGER-BLK-L,Jogging Noir L,1,12.30,12.30,
#100063,#100063,TSHIRT-BLK-M,T-shirt Premium Noir M,2,7.50,15.00,
#100064,#100064,TSHIRT-BLK-M,T-shirt Premium Noir M,2,7.50,15.00,
#100064,#100064,CAP-BLK-OS,Casquette Noire,4,5.50,22.00,
#100064,#100064,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,7.50,7.50,
#100065,#100065,WATCH-BLK,Montre Minimaliste Noire,3,13.70,41.10,
#100065,#100065,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,8.70,8.70,
#100065,#100065,SOCKS-5PK,Lot 5 paires chaussettes,1,6.00,6.00,
#100066,#100066,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,7.50,7.50,
#100067,#100067,HOODIE-GRY-XL,Hoodie Gris XL,1,13.40,13.40,
#100067,#100067,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,7.70,7.70,
#100068,#100068,WALLET-BRN,Portefeuille Cuir Brun,1,8.20,8.20,
#100069,#100069,WALLET-BRN,Portefeuille Cuir Brun,1,9.20,9.20,
#100069,#100069,JOGGER-BLK-L,Jogging Noir L,1,12.50,12.50,
#100070,#100070,WATCH-BLK,Montre Minimaliste Noire,1,13.70,13.70,
#100070,#100070,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,8.70,8.70,
#100071,#100071,WATCH-BLK,Montre Minimaliste Noire,4,12.50,50.00,
#100072,#100072,TSHIRT-BLK-M,T-shirt Premium Noir M,1,8.70,8.70,
#100073,#100073,WALLET-BRN,Portefeuille Cuir Brun,1,8.00,8.00,
#100074,#100074,WALLET-BRN,Portefeuille Cuir Brun,1,9.00,9.00,
#100075,#100075,SOCKS-5PK,Lot 5 paires chaussettes,1,4.80,4.80,
#100076,#100076,JOGGER-BLK-L,Jogging Noir L,1,11.80,11.80,
#100076,#100076,WALLET-BRN,Portefeuille Cuir Brun,1,8.50,8.50,
#100077,#100077,CAP-BLK-OS,Casquette Noire,1,5.50,5.50,
#100078,#100078,CAP-BLK-OS,Casquette Noire,1,5.50,5.50,
#100078,#100078,TSHIRT-BLK-M,T-shirt Premium Noir M,1,7.50,7.50,
#100079,#100079,TSHIRT-WHT-L,T-shirt Premium Blanc L,1,8.50,8.50,
#100079,#100079,CAP-BLK-OS,Casquette Noire,1,6.50,6.50,
